version https://git-lfs.github.com/spec/v1,team,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,year
oid sha256:895f1fb233be0d632aea9033e1ccf99eaff505b5187af91bdc6a551826d742a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size 1572689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,southern-methodist,Southern Methodist,33,20,13,.606,17.29,10.69,8,10,15,3,3,8,2779,2561,1330,1015,2071,.490,279,745,.374,470,634,.741,405,1244,559,234,121,373,559,2026.0
,southern-mississippi,Southern Mississippi,35,19,16,.543,-5.38,-4.50,9,9,10,3,4,11,2615,2585,1410,903,2001,.451,179,597,.300,630,859,.733,395,1284,403,260,132,453,674,2026.0
,southern-utah,Southern Utah,32,10,22,.313,-9.18,-0.21,6,12,7,6,2,15,2442,2544,1285,874,1897,.461,237,692,.342,457,633,.722,334,1148,449,178,137,453,531,2026.0
,st-bonaventure,St. Bonaventure,34,17,17,.500,2.41,1.69,4,14,9,7,4,7,2596,2532,1370,953,2038,.468,240,642,.374,450,605,.744,401,1199,533,258,157,388,558,2026.0
,st-johns-ny,St. John's (NY),34,28,6,.824,22.43,10.84,18,2,15,2,9,1,2773,2379,1365,950,2093,.454,235,707,.332,638,877,.727,445,1314,553,269,166,356,588,2026.0
,st-thomas-mn,St. Thomas,33,24,9,.727,3.29,-5.28,12,4,14,1,8,6,2728,2366,1320,976,1915,.510,322,883,.365,454,667,.681,235,1102,564,247,87,311,515,2026.0
,stanford,Stanford,32,20,12,.625,12.56,9.28,9,9,12,6,5,5,2431,2326,1280,823,1877,.438,295,829,.356,490,670,.731,360,1079,381,253,119,338,564,2026.0
,stephen-f-austin,Stephen F. Austin,33,28,5,.848,4.08,-4.60,20,2,15,1,12,3,2520,2176,1320,911,2028,.449,292,805,.363,406,596,.681,413,1230,452,228,121,303,520,2026.0
,stetson,Stetson,33,12,21,.364,-12.68,-4.68,7,11,9,5,2,14,2431,2631,1325,854,1871,.456,306,843,.363,417,612,.681,315,1083,506,206,68,414,511,2026.0
,stonehill,Stonehill,33,12,21,.364,-14.59,-9.27,8,10,8,5,4,15,2191,2263,1340,786,1896,.415,248,770,.322,371,541,.686,331,1240,411,160,130,430,534,2026.0
,stony-brook,Stony Brook,32,17,15,.531,-5.43,-3.67,9,9,12,4,4,9,2295,2277,1295,803,1892,.424,304,870,.349,385,533,.722,330,1111,424,216,119,360,515,2026.0
,syracuse,Syracuse,32,15,17,.469,10.30,9.55,6,12,12,6,2,7,2400,2376,1305,872,1876,.465,229,697,.329,427,659,.648,329,1093,411,198,189,353,526,2026.0
,tarleton-state,Tarleton State,32,14,18,.438,-4.75,-1.46,5,13,10,6,4,11,2385,2349,1295,836,1856,.450,147,456,.322,566,760,.745,356,1052,358,330,100,459,642,2026.0
,texas-christian,TCU,33,22,11,.667,15.77,9.53,11,7,14,5,5,5,2584,2378,1335,896,2000,.448,244,737,.331,548,774,.708,410,1194,516,254,150,361,538,2026.0
,temple,Temple,32,16,16,.500,1.06,-0.75,8,10,10,6,5,6,2366,2264,1285,801,1793,.447,218,645,.338,546,731,.747,321,1077,394,182,128,288,553,2026.0
,tennessee,Tennessee,33,22,11,.667,22.11,12.02,11,7,14,3,5,5,2622,2289,1335,933,2017,.463,214,640,.334,542,781,.694,529,1405,558,248,119,385,590,2026.0
,tennessee-state,Tennessee State,32,23,9,.719,-4.53,-8.66,15,5,10,2,10,7,2577,2347,1285,926,2015,.460,204,616,.331,521,681,.765,417,1216,422,300,116,390,578,2026.0
,tennessee-tech,Tennessee Tech,31,13,18,.419,-13.23,-7.88,8,12,8,6,5,12,2272,2308,1240,788,1778,.443,211,670,.315,485,639,.759,338,1122,377,184,92,412,502,2026.0
,tennessee-martin,Tennessee-Martin,33,22,11,.667,-5.91,-9.05,13,7,12,3,8,6,2303,2085,1325,788,1873,.421,265,871,.304,462,682,.677,458,1317,448,292,143,475,552,2026.0
,texas,Texas,32,18,14,.563,16.18,10.31,9,9,12,5,4,6,2681,2458,1290,905,1862,.486,237,671,.353,634,843,.752,384,1205,394,184,94,353,603,2026.0
,texas-am,Texas A&M,32,21,11,.656,16.77,8.62,11,7,14,4,6,5,2807,2546,1310,946,2065,.458,346,956,.362,569,772,.737,391,1207,580,260,103,347,619,2026.0
,texas-am-corpus-christi,Texas A&M-Corpus Christi,33,18,15,.545,-2.46,-1.60,13,9,10,5,7,9,2393,2234,1325,848,1855,.457,211,592,.356,486,718,.677,377,1191,441,251,99,436,666,2026.0
,texas-southern,Texas Southern,30,12,18,.400,-14.02,-7.95,10,8,9,5,3,12,2251,2339,1221,789,1753,.450,185,563,.329,488,681,.717,311,1069,338,204,102,409,590,2026.0
,texas-state,Texas State,32,19,13,.594,-7.25,-6.68,11,7,16,1,3,9,2365,2271,1295,865,1846,.469,151,458,.330,484,638,.759,364,1142,419,268,115,405,576,2026.0
,texas-tech,Texas Tech,32,22,10,.688,21.94,14.15,12,6,14,2,5,5,2573,2324,1285,913,1953,.467,369,938,.393,378,529,.715,369,1182,507,185,119,346,523,2026.0
,texas-pan-american,Texas-Rio Grande Valley,33,19,14,.576,0.95,-2.18,14,8,10,5,8,8,2505,2293,1335,889,1876,.474,310,828,.374,417,547,.762,314,1152,546,200,93,399,592,2026.0
,citadel,The Citadel,33,11,22,.333,-16.49,-5.89,7,11,7,8,3,12,2322,2558,1345,817,1930,.423,314,959,.327,374,556,.673,345,1087,422,183,81,343,537,2026.0
,toledo,Toledo,34,19,15,.559,0.79,-1.55,11,7,11,4,5,9,2755,2603,1360,1020,2084,.489,246,673,.366,469,618,.759,351,1155,549,261,103,347,504,2026.0
,towson,Towson,34,19,15,.559,-0.81,-1.43,9,9,11,3,3,10,2354,2248,1365,858,2028,.423,217,715,.303,421,606,.695,460,1332,346,204,114,351,533,2026.0
,troy,Troy,33,22,11,.667,-0.75,-4.56,12,6,10,3,9,7,2649,2412,1370,905,2014,.449,307,917,.335,532,721,.738,420,1264,527,263,112,392,552,2026.0
,tulane,Tulane,33,18,15,.545,-2.49,1.13,8,10,10,8,6,4,2389,2493,1330,764,1806,.423,261,814,.321,600,783,.766,264,1027,424,254,148,354,584,2026.0
,tulsa,Tulsa,33,26,7,.788,11.16,0.81,13,5,13,2,8,4,2824,2409,1335,929,1949,.477,350,903,.388,616,789,.781,371,1254,515,209,81,345,532,2026.0
,alabama-birmingham,UAB,32,20,12,.625,3.57,-0.24,11,7,8,9,10,2,2535,2361,1295,915,2064,.443,177,629,.281,528,749,.705,413,1278,459,253,113,285,457,2026.0
,california-davis,UC Davis,33,19,14,.576,-1.08,-1.11,11,9,12,4,6,9,2562,2478,1330,849,1903,.446,285,820,.348,579,772,.750,304,1097,512,265,89,423,618,2026.0
,california-irvine,UC Irvine,34,23,11,.676,3.66,-1.40,15,5,12,4,7,5,2632,2327,1375,965,2078,.464,196,576,.340,506,731,.692,396,1373,547,264,201,433,535,2026.0
,california-riverside,UC Riverside,32,10,22,.313,-7.75,-0.28,5,15,7,7,3,15,2334,2492,1280,810,1872,.433,235,727,.323,479,645,.743,330,1111,407,171,132,418,610,2026.0
,california-san-diego,UC San Diego,34,23,11,.676,2.34,-1.67,12,8,10,5,8,5,2573,2390,1360,919,2008,.458,284,858,.331,451,649,.695,328,1256,512,259,89,389,544,2026.0
,california-santa-barbara,UC Santa Barbara,32,18,14,.563,1.16,-1.80,11,9,11,4,5,8,2483,2328,1300,840,1794,.468,289,775,.373,514,674,.763,337,1123,455,205,76,411,601,2026.0
,central-florida,UCF,32,21,11,.656,13.32,10.82,9,9,13,5,5,5,2591,2511,1290,940,2017,.466,251,694,.362,460,622,.740,396,1190,504,181,96,358,560,2026.0
,ucla,UCLA,34,23,11,.676,18.28,11.55,13,7,17,1,4,6,2643,2414,1375,934,1984,.471,272,712,.382,503,656,.767,339,1098,555,223,99,302,582,2026.0
,north-carolina-asheville,UNC Asheville,32,15,17,.469,-6.14,-3.87,8,8,9,7,4,9,2349,2334,1295,820,1800,.456,221,633,.349,488,710,.687,336,1114,351,174,114,386,576,2026.0
,north-carolina-greensboro,UNC Greensboro,34,15,19,.441,-11.29,-6.01,9,9,8,6,4,9,2673,2736,1375,909,1983,.458,283,785,.361,572,809,.707,342,1204,436,189,63,346,549,2026.0
,north-carolina-wilmington,UNC Wilmington,32,26,6,.813,2.51,-5.03,15,3,15,3,11,2,2465,2166,1280,836,1876,.446,256,717,.357,537,782,.687,423,1279,433,169,77,320,549,2026.0
,texas-arlington,UT Arlington,32,18,14,.563,-1.72,-1.69,9,9,9,4,8,8,2240,2134,1295,776,1776,.437,157,540,.291,531,739,.719,392,1187,373,245,119,444,600,2026.0
,utah,Utah,32,10,22,.313,6.20,10.95,2,16,8,9,1,10,2379,2531,1285,848,1867,.454,247,700,.353,436,591,.738,321,1075,438,171,109,366,517,2026.0
,utah-state,Utah State,34,28,6,.824,17.36,6.51,15,5,14,1,7,5,2806,2392,1365,990,1986,.498,293,818,.358,531,751,.707,371,1176,599,299,99,360,642,2026.0
,dixie-state,Utah Tech,34,19,15,.559,-3.54,-1.28,11,7,11,3,6,10,2612,2548,1395,941,1989,.473,266,766,.347,464,636,.730,324,1155,498,245,108,420,551,2026.0
,utah-valley,Utah Valley,32,25,7,.781,5.37,-1.76,14,4,15,0,6,7,2585,2196,1295,949,1881,.505,217,635,.342,470,675,.696,383,1177,597,305,179,451,595,2026.0
,texas-el-paso,UTEP,31,11,20,.355,-6.64,-0.39,7,13,9,7,2,11,2149,2244,1255,746,1748,.427,228,675,.338,429,613,.700,303,1009,364,236,111,362,571,2026.0
,texas-san-antonio,UTSA,30,5,25,.167,-14.19,1.45,1,17,2,12,2,12,2084,2422,1200,743,1865,.398,225,757,.297,373,540,.691,370,1087,326,198,130,359,509,2026.0
,valparaiso,Valparaiso,33,18,15,.545,-0.02,0.67,11,9,13,4,4,10,2376,2358,1345,808,1923,.420,240,705,.340,520,736,.707,397,1195,399,197,115,348,587,2026.0
,vanderbilt,Vanderbilt,33,26,7,.788,23.18,11.36,11,7,13,3,8,4,2861,2471,1330,966,2019,.478,313,885,.354,616,781,.789,354,1167,543,270,155,316,644,2026.0
,vermont,Vermont,34,22,12,.647,-6.80,-10.17,12,4,13,3,8,7,2496,2330,1375,886,1915,.463,292,859,.340,432,605,.714,299,1183,432,156,100,320,574,2026.0
,villanova,Villanova,32,24,8,.750,16.32,9.94,15,5,13,3,9,3,2469,2265,1295,873,1912,.457,308,873,.353,415,598,.694,369,1103,496,238,70,324,513,2026.0
,virginia,Virginia,34,29,5,.853,21.61,9.38,15,3,16,1,8,2,2742,2326,1385,952,2058,.463,344,957,.359,494,680,.726,449,1367,563,219,220,368,597,2026.0
,virginia-commonwealth,Virginia Commonwealth,33,26,7,.788,13.10,2.95,15,3,15,2,7,3,2703,2368,1320,886,1917,.462,306,840,.364,625,844,.741,374,1213,467,242,144,353,570,2026.0
,virginia-military-institute,VMI,32,6,26,.188,-20.70,-6.01,1,17,5,9,1,14,2303,2560,1280,776,1932,.402,343,1044,.329,408,564,.723,325,1064,403,225,77,321,535,2026.0
,virginia-tech,Virginia Tech,32,19,13,.594,13.29,9.39,8,10,14,3,3,7,2521,2396,1315,878,1943,.452,274,771,.355,491,661,.743,353,1113,460,205,102,334,548,2026.0
,wagner,Wagner,31,14,17,.452,-11.78,-8.68,8,10,8,5,6,12,2210,2222,1265,786,1798,.437,229,655,.350,409,560,.730,368,1155,389,172,78,396,576,2026.0
,wake-forest,Wake Forest,33,17,16,.515,12.61,10.82,7,11,12,6,2,7,2602,2543,1335,886,1967,.450,296,860,.344,534,690,.774,332,1094,471,258,115,357,619,2026.0
,washington,Washington,33,16,17,.485,14.18,10.70,7,13,10,6,4,9,2545,2430,1335,929,2029,.458,221,702,.315,466,610,.764,392,1226,459,189,137,347,557,2026.0
,washington-state,Washington State,32,12,20,.375,3.51,5.12,7,11,9,6,1,11,2435,2480,1280,857,1836,.467,303,822,.369,418,563,.742,314,1097,444,180,93,417,570,2026.0
,weber-state,Weber State,32,16,16,.500,-2.81,-2.58,10,8,11,5,5,10,2598,2474,1295,918,1959,.469,228,653,.349,534,728,.734,371,1183,430,230,50,354,588,2026.0
,west-georgia,West Georgia,32,15,17,.469,-10.93,-5.77,8,10,10,5,4,11,2450,2547,1295,905,2026,.447,227,675,.336,413,590,.700,385,1185,408,207,159,360,538,2026.0
,west-virginia,West Virginia,32,18,14,.563,12.82,8.38,9,9,15,3,3,6,2214,2072,1295,773,1753,.441,247,752,.328,421,622,.677,335,1106,411,205,94,363,493,2026.0
,western-carolina,Western Carolina,31,15,16,.484,-6.39,-3.70,10,8,10,3,4,12,2432,2397,1250,872,1961,.445,269,806,.334,419,585,.716,428,1205,397,190,85,355,590,2026.0
,western-illinois,Western Illinois,31,5,26,.161,-23.43,-8.15,1,19,4,11,1,15,2011,2381,1245,702,1742,.403,182,580,.314,425,639,.665,321,988,261,161,61,365,499,2026.0
,western-kentucky,Western Kentucky,32,18,14,.563,0.49,-0.44,11,9,12,4,5,7,2537,2436,1290,819,1984,.413,270,791,.341,629,829,.759,411,1245,426,244,74,332,633,2026.0
,western-michigan,Western Michigan,31,10,21,.323,-8.31,-2.14,4,14,7,8,3,13,2318,2464,1245,815,1851,.440,228,649,.351,460,620,.742,342,1126,392,142,82,376,578,2026.0
,wichita-state,Wichita State,32,22,10,.688,9.06,1.74,13,5,14,3,7,4,2507,2254,1310,888,1994,.445,236,685,.345,495,716,.691,472,1313,375,193,125,328,554,2026.0
,william-mary,William & Mary,32,20,12,.625,-0.05,-2.68,10,8,11,2,6,9,2660,2487,1280,895,1864,.480,263,793,.332,607,815,.745,284,1117,573,256,126,388,561,2026.0
,winthrop,Winthrop,34,23,11,.676,-0.64,-4.42,13,3,13,1,7,9,2844,2566,1365,927,2125,.436,320,944,.339,670,917,.731,474,1403,486,239,99,370,653,2026.0
,wisconsin,Wisconsin,34,24,10,.706,19.54,12.45,14,6,15,2,6,4,2822,2581,1380,947,2106,.450,400,1108,.361,528,672,.786,353,1207,543,193,105,304,584,2026.0
,wofford,Wofford,32,19,13,.594,-7.36,-7.16,11,7,10,5,9,7,2520,2468,1285,869,1913,.454,293,839,.349,489,695,.704,353,1114,450,185,98,300,554,2026.0
,wright-state,Wright State,34,23,11,.676,0.14,-4.43,15,5,11,5,9,5,2745,2497,1365,975,1996,.488,241,667,.361,554,753,.736,383,1204,469,252,148,383,590,2026.0
,wyoming,Wyoming,32,18,14,.563,7.57,4.08,9,11,14,4,3,9,2467,2335,1280,852,1880,.453,262,795,.330,501,673,.744,387,1138,447,205,75,353,667,2026.0
,xavier,Xavier,33,15,18,.455,7.89,10.16,6,14,12,6,1,10,2586,2661,1330,925,2084,.444,309,846,.365,427,586,.729,329,1133,575,214,132,330,577,2026.0
,yale,Yale,29,24,5,.828,6.51,-2.60,11,3,10,2,9,3,2369,2041,1170,840,1685,.499,246,613,.401,443,586,.756,301,1015,469,158,92,271,454,2026.0
,youngstown-state,Youngstown State,32,15,17,.469,-4.42,-4.62,8,12,10,5,4,11,2495,2338,1285,869,1879,.462,318,918,.346,439,594,.739,347,1106,471,231,116,405,554,2026.0
