,TeamID,yr,school,pct_win_rd,rd
459,1332,2021,oregon,1.3,4
460,1332,2021,oregon,0.5,5
461,1332,2021,oregon,0.3,6
462,1333,2021,oregon state,21.6,1
463,1333,2021,oregon state,4.8,2
464,1333,2021,oregon state,1.1,3
465,1333,2021,oregon state,0.4,4
466,1333,2021,oregon state,0.2,5
467,1333,2021,oregon state,0.1,6
468,1344,2022,providence,69.0,1
469,1344,2022,providence,26.5,2
470,1344,2022,providence,5.7,3
471,1344,2022,providence,2.4,4
472,1344,2022,providence,0.8,5
473,1344,2022,providence,0.3,6
474,1345,2021,purdue,87.5,1
475,1345,2021,purdue,49.9,2
476,1345,2021,purdue,10.3,3
477,1345,2021,purdue,4.3,4
478,1345,2021,purdue,1.5,5
479,1345,2021,purdue,0.6,6
480,1345,2022,purdue,92.5,1
481,1345,2022,purdue,63.3,2
482,1345,2022,purdue,27.7,3
483,1345,2022,purdue,14.7,4
484,1345,2022,purdue,5.3,5
485,1345,2022,purdue,2.4,6
486,1350,2022,richmond,14.4,1
487,1350,2022,richmond,5.2,2
488,1350,2022,richmond,1.2,3
489,1350,2022,richmond,0.4,4
490,1350,2022,richmond,0.2,5
491,1350,2022,richmond,0.1,6
492,1353,2021,rutgers,42.5,1
493,1353,2021,rutgers,7.8,2
494,1353,2021,rutgers,2.3,3
495,1353,2021,rutgers,0.6,4
496,1353,2021,rutgers,0.2,5
497,1353,2021,rutgers,0.1,6
498,1355,2022,s dakota st,31.0,1
499,1355,2022,s dakota st,7.5,2
500,1355,2022,s dakota st,1.6,3
501,1355,2022,s dakota st,0.7,4
502,1355,2022,s dakota st,0.3,5
503,1355,2022,s dakota st,0.1,6
504,1388,2022,saint mary's,69.3,1
505,1388,2022,saint mary's,22.9,2
506,1388,2022,saint mary's,5.7,3
507,1388,2022,saint mary's,1.8,4
508,1388,2022,saint mary's,0.5,5
509,1388,2022,saint mary's,0.2,6
510,1389,2022,saint peter's,4.4,1
511,1389,2022,saint peter's,1.9,2
512,1389,2022,saint peter's,0.9,3
513,1389,2022,saint peter's,0.3,4
514,1389,2022,saint peter's,0.1,5
515,1389,2022,saint peter's,0.1,6
516,1361,2021,san diego state,58.2,1
517,1361,2021,san diego state,23.6,2
518,1361,2021,san diego state,8.5,3
519,1361,2021,san diego state,2.0,4
520,1361,2021,san diego state,0.7,5
521,1361,2021,san diego state,0.3,6
522,1361,2022,san diego state,49.4,1
523,1361,2022,san diego state,5.8,2
524,1361,2022,san diego state,2.4,3
525,1361,2022,san diego state,0.9,4
526,1361,2022,san diego state,0.3,5
527,1361,2022,san diego state,0.1,6
528,1362,2022,san francisco,31.8,1
529,1362,2022,san francisco,4.1,2
530,1362,2022,san francisco,1.3,3
531,1362,2022,san francisco,0.4,4
532,1362,2022,san francisco,0.2,5
533,1362,2022,san francisco,0.1,6
534,1371,2022,seton hall,48.4,1
535,1371,2022,seton hall,4.5,2
536,1371,2022,seton hall,1.7,3
537,1371,2022,seton hall,0.6,4
538,1371,2022,seton hall,0.2,5
539,1371,2022,seton hall,0.1,6
540,1382,2021,st. bonaventure,35.6,1
541,1382,2021,st. bonaventure,5.1,2
542,1382,2021,st. bonaventure,2.1,3
543,1382,2021,st. bonaventure,0.8,4
544,1382,2021,st. bonaventure,0.3,5
545,1382,2021,st. bonaventure,0.1,6
546,1393,2021,syracuse,41.8,1
547,1393,2021,syracuse,13.1,2
548,1393,2021,syracuse,4.3,3
549,1393,2021,syracuse,1.2,4
550,1393,2021,syracuse,0.5,5
551,1393,2021,syracuse,0.3,6
552,1395,2022,tcu,51.6,1
553,1395,2022,tcu,5.1,2
554,1395,2022,tcu,2.0,3
555,1395,2022,tcu,0.7,4
556,1395,2022,tcu,0.3,5
557,1395,2022,tcu,0.1,6
