version https://git-lfs.github.com/spec/v1,team,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,year
oid sha256:e71f55f5cb8ea895d20790615afb0c233f8f5354de41234ec4e70640802fd4dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size 1514983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,grand-canyon,Grand Canyon,32,13,19,.406,3.96,3.84,11,9,7,7,5,9,2073,2069,1280,736,1853,.397,199,685,.291,402,529,.760,357,1160,416,242,94,566,564,2026.0
,green-bay,Green Bay,33,25,8,.758,6.69,-2.19,17,3,14,1,9,5,2267,1935,1325,844,1895,.445,201,610,.330,378,500,.756,272,1196,572,246,85,426,427,2026.0
,hampton,Hampton,31,10,21,.323,-15.34,-7.38,4,14,3,9,4,9,1865,1970,1245,688,1866,.369,191,659,.290,298,429,.695,369,1038,384,266,121,436,472,2026.0
,harvard,Harvard,29,18,11,.621,10.93,3.00,10,4,9,3,7,5,1893,1663,1175,709,1778,.399,182,594,.306,293,391,.749,435,1076,386,259,112,452,513,2026.0
,hawaii,Hawaii,33,22,11,.667,3.57,-2.66,14,6,13,5,6,4,2096,1884,1335,758,1807,.419,223,664,.336,357,482,.741,324,1273,402,187,206,557,488,2026.0
,high-point,High Point,32,27,5,.844,-0.13,-13.20,13,3,14,2,8,3,2375,1881,1295,856,1912,.448,250,756,.331,413,571,.723,300,1162,480,310,117,468,441,2026.0
,hofstra,Hofstra,32,11,21,.344,-11.07,-3.82,6,12,3,10,5,9,1741,1930,1285,663,1780,.372,162,547,.296,253,373,.678,377,1126,354,227,74,513,530,2026.0
,holy-cross,Holy Cross,31,22,9,.710,-1.85,-6.27,14,4,13,3,9,6,1885,1748,1250,707,1728,.409,162,576,.281,309,413,.748,270,1114,458,238,107,450,410,2026.0
,houston,Houston,30,7,23,.233,0.60,12.60,1,17,5,10,1,11,1836,2196,1200,649,1766,.367,128,481,.266,410,572,.717,348,1039,312,274,114,562,539,2026.0
,houston-baptist,Houston Christian,29,8,21,.276,-17.00,-6.52,6,16,5,8,3,13,1724,1924,1185,622,1610,.386,160,619,.258,320,489,.654,318,1016,347,268,68,545,482,2026.0
,howard,Howard,33,26,7,.788,-1.71,-8.71,13,1,11,0,11,7,2209,1978,1320,773,1949,.397,145,485,.299,518,715,.724,409,1252,393,334,133,494,538,2026.0
